HID,Hotel,Price,Number of Reviews,Desirable
HID70, Grand Treat Chennai, 1348.38, 517, 0.434057904
HID71, Green Coconut Resort Chennai, 1722.93, 648, 0.411747413
HID72, Green Meadows Chennai, 1872.75, 1107, 1.067097947
HID73, Green Park Chennai, 2921.49, 285, -0.437291149
HID74, Greens Chennai, 8689.56, 700, -0.48909756
HID75, Hablis Chennai, 1123.65, 259, -0.032064282
HID76, Hanu Reddy Residences Poes Garden Chennai, 2172.39, 255, -0.376850337
HID77, Hanu Reddy Residences Wallace Garden Chennai, 2042.10, 150, -0.5672153
HID78, Harrisons Chennai, 4002.00, 800, 1.19823899
HID79, Hilton Chennai, 7650.44, 1300, 2.45678945
HID80, Holiday Inn Express Chennai Mahindra World City Chennai, 3500.22, 900, -0.34239834
HID81, Holiday Inn Express Chennai Old Mahabalipuram Road Chennai, 849.56, 200, -0.61314763
HID82, Hotel Comfor Chennait, 2500.00, 150, -0.41239956
HID83, Hotel Grand Residence Porur Chennai, 4304.89, 1800, -0.41324677
HID84, Hotel Kensington Chennai, 2000.00, 800, 0.00693504
HID85, Hotel Pandian Chennai, 940.89, 150, -0.02951463
HID86, Hotel Shelter Chennai, 4120.05, 1000, 0.21631541
HID87, Hyatt Regency Chennai, 7860.89, 1560, 1.43294537
HID88, ibis Chennai City Centre , 8000.00, 1000, -0.17878956
HID89, ibis Chennai Sipcot, 4002.00, 800, 0.56437234
HID90, ITC Grand Chola Chennai, 10870.19, 1350, 2.98243734
HID91, JP Hotel Chennai, 3120.00, 600, 0.17842105
HID92, Just Guest House Chennai, 1500.00, 300, -0.04994334
HID93, Hotel Kek Grand Park Chennai, 1110.00, 540, 0.41582049
HID94, Keys Hotel Katti-Ma Chennai, 750.00, 600, 0.35491302
HID95, King's Cross Residency Chennai, 4200.00, 500, 0.07749112
HID96, La Woods Chennai, 3800.00, 600, -0.29840033
HID97, Lake View Park Chennai, 1899.00, 450, -0.16666112
HID98, Le Park Inn Chennai, 1500.00, 430, -0.41723669
HID99, Le Royal Méridien Chennai, 3499.00, 600, -0.09203724
HID100, Leisure Stays Chennai, 3300.00, 450, -0.09993836
